,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
378,HH,HH,HH,NS,NS,NS,HH,HH
379,NS,LL,HL,NS,NS,NS,NS,NS
380,NS,NS,NS,NS,NS,NS,NS,NS
381,NS,NS,NS,NS,NS,NS,NS,NS
382,NS,NS,NS,NS,NS,NS,NS,NS
383,NS,NS,NS,NS,NS,NS,NS,NS
384,NS,NS,NS,NS,HH,NS,NS,NS
385,NS,NS,NS,NS,NS,NS,NS,NS
386,NS,NS,HL,NS,NS,NS,NS,NS
387,NS,NS,NS,NS,NS,NS,NS,NS
388,NS,NS,NS,NS,NS,LL,NS,NS
389,NS,NS,NS,NS,NS,NS,NS,NS
390,LL,NS,NS,NS,NS,NS,NS,LL
391,LL,NS,NS,NS,NS,NS,NS,LL
392,NS,NS,NS,NS,NS,HL,HL,NS
393,NS,NS,NS,NS,NS,NS,NS,NS
394,NS,NS,NS,NS,NS,NS,NS,NS
395,HL,NS,NS,NS,NS,NS,NS,NS
396,HH,NS,NS,NS,NS,NS,NS,NS
397,NS,NS,NS,NS,HH,NS,NS,NS
398,NS,NS,NS,NS,NS,NS,NS,NS
399,NS,NS,NS,NS,HH,NS,NS,NS
400,NS,NS,NS,NS,NS,NS,NS,NS
401,LL,NS,NS,NS,NS,NS,HL,NS
402,NS,NS,NS,NS,NS,NS,NS,NS
403,NS,NS,NS,NS,NS,NS,NS,NS
404,NS,NS,NS,NS,NS,NS,LH,LH
405,NS,NS,NS,NS,NS,NS,NS,NS
406,LH,NS,NS,NS,NS,NS,NS,LH
407,NS,NS,NS,NS,NS,NS,NS,NS
408,NS,NS,NS,NS,NS,NS,NS,NS
409,NS,LL,LL,NS,NS,NS,NS,LL
410,NS,NS,NS,NS,NS,LL,LL,NS
411,NS,NS,NS,NS,NS,NS,NS,NS
412,NS,HL,NS,NS,NS,NS,NS,NS
413,NS,NS,NS,NS,NS,NS,NS,NS
414,NS,NS,LL,NS,NS,NS,NS,NS
415,NS,NS,NS,NS,NS,NS,NS,NS
416,NS,NS,NS,NS,NS,NS,NS,NS
417,NS,NS,NS,NS,NS,LH,NS,NS
418,NS,LH,NS,NS,NS,HH,NS,NS
419,NS,NS,NS,NS,NS,NS,NS,NS
420,NS,NS,NS,NS,NS,NS,NS,NS
421,NS,NS,NS,NS,NS,NS,NS,NS
422,NS,NS,NS,NS,NS,NS,NS,NS
423,LL,LL,NS,LL,LL,NS,NS,NS
424,NS,NS,NS,NS,NS,NS,NS,NS
425,NS,NS,NS,NS,NS,NS,NS,NS
426,NS,NS,NS,NS,NS,NS,NS,NS
427,NS,NS,NS,NS,NS,NS,NS,NS
428,LL,NS,NS,NS,NS,NS,NS,NS
429,LH,NS,NS,NS,NS,NS,NS,NS
430,NS,NS,NS,NS,NS,NS,NS,NS
431,NS,NS,NS,NS,NS,NS,NS,NS
432,HL,NS,NS,LL,NS,HL,LL,NS
433,LL,NS,NS,NS,NS,NS,NS,NS
434,NS,NS,NS,NS,HH,NS,NS,HH
435,NS,HH,NS,HH,HH,NS,NS,NS
436,NS,NS,NS,NS,NS,NS,NS,NS
437,NS,NS,NS,NS,NS,NS,NS,NS
438,NS,NS,NS,NS,NS,NS,NS,NS
439,NS,NS,NS,NS,NS,NS,NS,NS
440,NS,NS,NS,NS,LL,NS,NS,NS
441,HH,NS,HH,HH,NS,NS,NS,NS
442,NS,NS,NS,NS,NS,NS,NS,NS
443,NS,NS,NS,NS,NS,NS,NS,NS
