,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
336,NS,NS,LL,NS,HH,NS,NS,NS
337,NS,NS,HH,NS,NS,NS,NS,NS
338,NS,LH,NS,NS,NS,NS,LL,LL
339,HH,NS,NS,NS,HH,NS,NS,LL
340,NS,NS,HH,NS,NS,NS,LL,NS
341,NS,LL,LH,LL,NS,NS,LL,LL
342,NS,NS,NS,HH,NS,NS,HL,LL
343,NS,LL,NS,HH,NS,LL,NS,LL
344,LL,LL,LL,NS,LH,LL,NS,HH
345,NS,NS,NS,LH,LL,LL,NS,NS
346,NS,NS,LL,NS,NS,NS,NS,NS
347,LL,NS,LL,NS,HH,NS,NS,NS
348,LL,NS,NS,NS,NS,NS,LL,NS
349,LL,NS,NS,LL,HH,NS,NS,LH
350,LL,HH,NS,NS,LH,NS,HH,HH
351,LL,NS,NS,LL,NS,NS,HH,HH
352,LL,LL,NS,LL,NS,HH,NS,NS
353,NS,NS,NS,NS,NS,NS,NS,NS
354,NS,HH,NS,NS,LL,NS,LL,LH
355,NS,HH,LL,NS,NS,HH,LL,NS
356,NS,NS,NS,NS,LL,HH,NS,NS
357,LL,NS,HH,NS,LL,NS,LL,NS
358,NS,NS,HH,NS,NS,HH,LL,NS
359,NS,NS,NS,NS,NS,NS,NS,LL
360,NS,NS,NS,NS,NS,NS,HH,LL
361,NS,NS,NS,NS,NS,NS,NS,LL
362,NS,LL,LL,HH,NS,LH,NS,LL
363,HH,LL,LL,HH,NS,LL,NS,LL
364,LH,NS,NS,NS,NS,NS,NS,LL
365,NS,HH,LL,NS,LL,HH,NS,NS
366,NS,NS,LL,NS,NS,NS,LH,LL
367,HH,NS,NS,LL,HH,NS,HH,LL
368,HH,NS,HH,LL,HH,NS,HH,NS
369,HH,NS,NS,NS,NS,NS,NS,NS
370,NS,NS,LH,LL,NS,LL,HH,NS
371,NS,HH,NS,NS,NS,NS,LH,NS
372,NS,HH,NS,LL,LL,LL,NS,LL
373,NS,NS,NS,NS,LL,LL,NS,NS
374,NS,NS,NS,HH,NS,NS,NS,NS
375,LL,NS,NS,NS,LL,NS,HH,NS
376,LL,HH,NS,LH,NS,NS,NS,NS
377,LL,HH,NS,NS,LL,NS,LL,HH
378,LL,NS,HH,NS,NS,NS,LL,LH
379,NS,NS,HH,NS,HH,NS,LL,NS
380,NS,HH,HH,HH,NS,NS,LL,NS
381,NS,NS,NS,HH,NS,NS,LL,HH
382,NS,NS,HH,NS,NS,NS,LL,HH
383,NS,NS,NS,HH,NS,HH,LL,HH
384,NS,NS,NS,HH,LH,HH,LL,NS
385,NS,LL,LL,NS,NS,NS,LL,LL
386,NS,LL,LL,HH,NS,NS,LL,NS
387,LH,LL,LL,HH,NS,LL,NS,HL
388,NS,LL,LL,NS,HH,LL,NS,NS
389,NS,LL,LL,HH,HH,NS,LL,NS
390,LL,LL,LL,NS,NS,LL,NS,LL
391,LL,NS,LL,NS,HH,LL,NS,LL
392,HH,NS,LL,LL,HH,NS,LH,LL
393,NS,NS,LL,LL,NS,HH,HL,LL
394,NS,NS,NS,LL,HH,LH,NS,NS
395,NS,NS,NS,LL,NS,NS,NS,HL
396,LL,NS,NS,LL,NS,NS,NS,NS
397,NS,HL,NS,LL,NS,NS,LH,NS
398,NS,NS,HH,LL,NS,NS,NS,NS
399,NS,NS,HH,LL,LL,NS,NS,NS
400,NS,NS,LH,NS,LL,HH,NS,NS
401,LL,LH,HL,NS,LL,HH,NS,NS
402,NS,NS,NS,NS,LL,NS,HH,NS
403,NS,NS,NS,NS,LL,HH,NS,LH
404,NS,HH,NS,NS,LL,HH,LL,NS
405,LL,NS,LH,HH,LL,HH,HL,NS
406,NS,NS,NS,NS,NS,HH,NS,LL
407,NS,NS,NS,LH,NS,HH,NS,LL
408,HL,NS,NS,HL,NS,NS,NS,HH
409,NS,NS,NS,NS,NS,HH,NS,LL
410,NS,NS,NS,NS,NS,NS,NS,NS
411,LL,HH,NS,NS,NS,NS,NS,NS
412,NS,HH,NS,LH,LH,NS,LL,NS
413,LL,LH,NS,NS,NS,NS,LL,NS
414,NS,NS,NS,NS,NS,NS,NS,NS
415,LL,NS,HH,HH,NS,LL,NS,NS
416,NS,NS,HH,NS,NS,LL,NS,LL
417,NS,LL,HH,NS,NS,LL,NS,NS
418,NS,LL,NS,NS,LH,LL,NS,NS
419,LL,NS,NS,NS,NS,LL,NS,NS
420,LL,HH,NS,LL,NS,LL,NS,LL
421,LL,NS,LL,NS,NS,NS,NS,NS
422,LH,NS,LL,HH,NS,NS,LL,NS
423,NS,HH,NS,NS,NS,LL,LH,NS
424,NS,NS,HH,NS,NS,NS,NS,NS
425,NS,NS,HL,NS,NS,NS,NS,NS
426,NS,HL,NS,NS,NS,HH,LL,NS
427,NS,NS,NS,LL,HL,HH,LL,LL
428,NS,NS,HH,LL,NS,LH,HH,LH
429,HH,NS,NS,NS,NS,NS,LL,HH
430,LH,LL,NS,HH,HH,NS,NS,LL
431,LH,NS,HL,NS,NS,NS,NS,NS
432,LL,NS,NS,NS,NS,NS,NS,LL
433,NS,NS,NS,HH,LL,LH,NS,NS
434,NS,LL,NS,NS,LL,NS,NS,NS
435,NS,LL,NS,NS,LL,NS,NS,NS
436,NS,NS,LL,NS,LL,HH,NS,LL
437,NS,LL,LH,NS,NS,NS,NS,LL
438,NS,NS,NS,LL,HL,NS,LL,LL
439,NS,LL,NS,LH,NS,NS,NS,LH
440,LL,LL,LL,NS,NS,NS,LL,NS
441,NS,HH,LL,NS,NS,NS,NS,NS
442,NS,HL,HH,LL,NS,HH,NS,LL
443,NS,NS,LL,LL,NS,NS,LL,HH
444,LL,HH,NS,HH,NS,HH,NS,NS
445,LL,NS,NS,NS,LL,HH,NS,NS
446,LL,NS,NS,HH,LH,LH,NS,NS
447,NS,NS,HH,LL,NS,NS,HL,HH
448,NS,NS,HH,NS,NS,NS,NS,NS
449,NS,NS,NS,NS,LL,NS,NS,LH
450,LL,NS,NS,NS,LL,NS,NS,NS
451,LL,NS,NS,HH,NS,NS,LL,NS
452,LL,LL,LL,HH,HL,NS,NS,NS
453,LL,NS,NS,NS,HH,HL,LL,NS
454,NS,NS,NS,NS,LL,NS,NS,NS
455,LL,NS,NS,NS,NS,NS,LL,NS
456,NS,NS,NS,LL,NS,NS,NS,NS
457,LL,HL,LL,NS,NS,HH,NS,NS
458,NS,NS,NS,NS,HH,NS,NS,NS
459,NS,NS,NS,NS,HH,NS,LL,NS
460,HH,NS,NS,NS,NS,NS,LL,NS
461,NS,LL,NS,LL,NS,NS,LL,NS
462,NS,NS,HL,NS,NS,NS,LH,NS
463,NS,LL,NS,NS,LL,LL,HH,LL
464,NS,NS,NS,NS,NS,LH,LL,HH
465,HH,LL,NS,NS,NS,NS,NS,HH
466,HH,NS,LL,NS,LL,NS,NS,LL
467,HH,NS,NS,NS,NS,LL,HH,LL
468,LL,NS,NS,NS,NS,NS,NS,HH
469,LL,HL,LL,NS,NS,NS,NS,NS
470,NS,LL,NS,LL,LL,NS,NS,NS
471,NS,HL,LL,NS,NS,NS,HH,LL
472,NS,LL,NS,LL,NS,HH,NS,LL
473,NS,LL,NS,NS,NS,LL,LH,NS
474,NS,NS,NS,NS,NS,NS,NS,NS
475,NS,NS,LL,NS,NS,NS,NS,NS
476,NS,NS,NS,NS,NS,NS,NS,NS
477,NS,NS,LL,NS,LL,HH,NS,LL
478,NS,NS,LL,LL,NS,HH,NS,NS
479,NS,NS,NS,NS,LL,NS,NS,LL
480,NS,NS,NS,NS,NS,HH,NS,NS
481,NS,HH,NS,NS,NS,NS,NS,NS
482,LL,NS,NS,LL,NS,LL,LL,NS
483,NS,LH,NS,NS,NS,NS,NS,NS
484,NS,LL,NS,NS,NS,LL,NS,NS
485,NS,NS,NS,LL,NS,NS,NS,NS
486,LL,LL,NS,NS,NS,HH,LL,NS
487,LL,NS,HH,NS,LL,HH,HH,NS
488,LL,NS,NS,HH,LL,LL,HH,LL
489,LL,NS,LH,NS,NS,NS,LL,LL
490,LL,NS,NS,NS,NS,NS,LL,NS
491,LL,NS,NS,NS,NS,NS,HH,NS
492,NS,LL,LL,HH,LL,NS,NS,NS
493,NS,NS,NS,NS,NS,NS,NS,NS
494,NS,NS,NS,LH,NS,NS,LL,NS
495,NS,NS,NS,NS,HH,HH,LL,NS
496,LL,LL,NS,NS,NS,NS,NS,HH
497,NS,HH,NS,NS,NS,LL,NS,NS
498,NS,NS,LL,NS,NS,NS,NS,NS
499,NS,LL,NS,NS,HH,LL,HH,NS
500,NS,HH,NS,NS,NS,NS,NS,NS
501,NS,NS,NS,NS,HH,LL,NS,NS
502,NS,NS,NS,NS,NS,NS,NS,NS
503,NS,LL,HH,LL,NS,NS,NS,NS
504,NS,LL,HH,NS,NS,NS,NS,LL
505,LL,LL,HH,NS,NS,LL,NS,NS
506,LL,NS,NS,NS,NS,NS,NS,NS
507,LL,NS,LL,LL,NS,LL,NS,NS
508,LL,NS,HH,HH,NS,LL,NS,LL
509,NS,NS,NS,LL,NS,NS,NS,LL
510,LL,NS,NS,LL,LL,NS,NS,LL
511,NS,NS,LL,HH,NS,NS,NS,LL
512,NS,NS,LL,NS,NS,NS,HH,LL
513,LH,NS,NS,NS,NS,NS,HH,LL
514,NS,NS,NS,LL,LL,HH,HH,NS
515,HH,NS,NS,LL,HH,NS,LL,NS
516,LL,NS,NS,NS,NS,NS,LL,NS
517,LH,NS,NS,NS,LL,NS,NS,NS
518,NS,HH,LL,NS,NS,HH,NS,NS
519,NS,HH,LL,NS,NS,NS,NS,NS
520,NS,NS,LL,NS,NS,HH,NS,NS
521,NS,NS,NS,NS,LL,NS,NS,NS
